表名称,字段,字段解释,字段类型,备注,,,,,,,,,,,,,,,,,
TB_Person_Prj（项目经验）,PrjDesc,项目描述,nvarchar,,,,,,,,,,,,,,,,,,
TB_Person_Train（培训经历）,TrainID,培训经历ID,int,,,,,,,,,,,,,,,,,,
TB_Person_Train（培训经历）,UserID,用户个人ID,int,,,,,,,,,,,,,,,,,,
TB_Person_Train（培训经历）,StartTime,开始时间,datetime,,,,,,,,,,,,,,,,,,
TB_Person_Train（培训经历）,EndTime,结束时间,datetime,,,,,,,,,,,,,,,,,,
TB_Person_Train（培训经历）,Subject,培训课程,nvarchar,,,,,,,,,,,,,,,,,,
TB_Person_Train（培训经历）,School,培训学校,nvarchar,,,,,,,,,,,,,,,,,,
TB_Person_Train（培训经历）,Cert,持有证书,nvarchar,,,,,,,,,,,,,,,,,,
TB_Person_Train（培训经历）,Detail,描述,nvarchar,,,,,,,,,,,,,,,,,,
TB_Person2（采集的个人简历）,PersonID,个人ID,int,,,,,,,,,,,,,,,,,,
TB_Person2（采集的个人简历）,PersonName,姓名,nvarchar,,,,,,,,,,,,,,,,,,
TB_Person2（采集的个人简历）,Sex,性别,int,,,,,,,,,,,,,,,,,,
TB_Person2（采集的个人简历）,JobExp,工作经验,int,,,,,,,,,,,,,,,,,,
TB_Person2（采集的个人简历）,Edu,学历,int,,,,,,,,,,,,,,,,,,
TB_Person2（采集的个人简历）,WantJobPlace,期望工作地,varchar,,,,,,,,,,,,,,,,,,
TB_Person2（采集的个人简历）,WantJobDesc,期望职位,varchar,,,,,,,,,,,,,,,,,,
TB_Person2（采集的个人简历）,Phone,手机号,nvarchar,,,,,,,,,,,,,,,,,,
TB_Person2（采集的个人简历）,UpdateTime,更新时间,datetime,,,,,,,,,,,,,,,,,,
TB_Person2（采集的个人简历）,Comment,备注,nvarchar,,,,,,,,,,,,,,,,,,
TB_Person2（采集的个人简历）,WantJobPosKey,期望从事工件关键字,varchar,,,,,,,,,,,,,,,,,,
TB_Person2（采集的个人简历）,Age,年龄,int,,,,,,,,,,,,,,,,,,
TB_PersonFavorite（个人收藏职位）,FavID,,int,,,,,,,,,,,,,,,,,,
TB_PersonFavorite（个人收藏职位）,UserID,个人用户ID,int,,,,,,,,,,,,,,,,,,
TB_PersonFavorite（个人收藏职位）,JobID,职位ID,int,,,,,,,,,,,,,,,,,,
TB_PersonFavorite（个人收藏职位）,Status,状态,int,,,,,,,,,,,,,,,,,,
TB_PersonFavorite（个人收藏职位）,AddTime,收藏时间,datetime,,,,,,,,,,,,,,,,,,
TB_PersonFavorite（个人收藏职位）,Rank,,int,暂未发现使用,,,,,,,,,,,,,,,,,
TB_PersonInvite（个人被邀请）,InviteID,邀请ID,int,,,,,,,,,,,,,,,,,,
TB_PersonInvite（个人被邀请）,CUserID,企业ID,int,,,,,,,,,,,,,,,,,,
TB_PersonInvite（个人被邀请）,PUserID,个人ID,int,,,,,,,,,,,,,,,,,,
TB_PersonInvite（个人被邀请）,JobID,职位ID,int,,,,,,,,,,,,,,,,,,
TB_PersonInvite（个人被邀请）,SendTime,邀请时间,datetime,,,,,,,,,,,,,,,,,,
TB_PersonInvite（个人被邀请）,InviteStatus,邀请状态,int,"/// 0:个人未读
        /// 1:个人已读
        /// 2:个人已接受
        /// 3:个人考虑中
        /// 4:个人谢绝
        /// 5:企业删除
        /// 6:个人删除",,,,,,,,,,,,,,,,,
TB_PersonInvite（个人被邀请）,PDel,个人删除,bit,,,,,,,,,,,,,,,,,,
TB_PersonInvite（个人被邀请）,PersonOpTime,个人操作时间,datetime,,,,,,,,,,,,,,,,,,
TB_PersonInvite（个人被邀请）,ComOpTime,企业操作时间,datetime,,,,,,,,,,,,,,,,,,
TB_PersonInvite（个人被邀请）,PersonApplied,标记个人在被企业邀请之前是否向企业申请过职位,bit,0:没有，1：申请过,,,,,,,,,,,,,,,,,
TB_PersonInvite（个人被邀请）,PHasNew,个人有新状态,bit,,,,,,,,,,,,,,,,,,
TB_PersonInvite（个人被邀请）,CHasNew,企业有新状态,bit,,,,,,,,,,,,,,,,,,
TB_PersonLang（个人语言）（未启用）,PersonLangID,个人语言ID,int,,,,,,,,,,,,,,,,,,
TB_PersonLang（个人语言）（未启用）,UserID,个人ID,int,,,,,,,,,,,,,,,,,,
TB_PersonLang（个人语言）（未启用）,Lang,语言,int,,,,,,,,,,,,,,,,,,
TB_PersonLang（个人语言）（未启用）,Skill,技能,int,,,,,,,,,,,,,,,,,,
TB_PersonRecomm（简历推荐）,RID,,int,,,,,,,,,,,,,,,,,,
TB_PersonRecomm（简历推荐）,ComID,企业ID,int,,,,,,,,,,,,,,,,,,
TB_PersonRecomm（简历推荐）,PersonID,个人ID,int,,,,,,,,,,,,,,,,,,
TB_PersonRecomm（简历推荐）,MatchLevel,匹配程度,int,,,,,,,,,,,,,,,,,,
TB_PersonRecomm（简历推荐）,RecommTime,推荐时间,datetime,,,,,,,,,,,,,,,,,,
TB_PersonRecomm（简历推荐）,MailTag,暂未使用,int,,,,,,,,,,,,,,,,,,
TB_PersonRecomm（简历推荐）,PersonSource,简历分数,int,,,,,,,,,,,,,,,,,,
TB_PersonRecomm（简历推荐）,Jobs,职位,nvarchar,用于全文检索,,,,,,,,,,,,,,,,,
TB_PersonRecomm（简历推荐）,Age,年龄,int,,,,,,,,,,,,,,,,,,
TB_PersonRecomm（简历推荐）,PersonName,求职者姓名,nvarchar,,,,,,,,,,,,,,,,,,
TB_PersonRecomm（简历推荐）,WantJob,期望职位,varchar,,,,,,,,,,,,,,,,,,
TB_PersonRecomm（简历推荐）,JobExp,工作经验,int,,,,,,,,,,,,,,,,,,
TB_PersonRecomm（简历推荐）,Edu,学历,int,,,,,,,,,,,,,,,,,,
TB_PersonRecomm（简历推荐）,BirthDay,生日,datetime,,,,,,,,,,,,,,,,,,
TB_PersonRecomm（简历推荐）,Sex,性别,int,,,,,,,,,,,,,,,,,,
TB_PersonRecomm（简历推荐）,WantJobPosKey,期望职位关键词,nvarchar,,,,,,,,,,,,,,,,,,
TB_PersonRecomm（简历推荐）,ComRead,企业阅读标记,bit,,,,,,,,,,,,,,,,,,
TB_PersonRecomm（简历推荐）,PRegTime,个人注册时间,datetime,,,,,,,,,,,,,,,,,,
TB_PersonRecomm（简历推荐）,WantJobPlace,期望工作地,varchar,,,,,,,,,,,,,,,,,,
TB_PersonSearcher（简历筛选器）,SearcherID,筛选器ID,int,,,,,,,,,,,,,,,,,,
TB_PersonSearcher（简历筛选器）,SearcherName,筛选器名,nvarchar,,,,,,,,,,,,,,,,,,
TB_PersonSearcher（简历筛选器）,CUserID,企业ID,int,,,,,,,,,,,,,,,,,,
TB_PersonSearcher（简历筛选器）,CreateTime,创建时间,datetime,,,,,,,,,,,,,,,,,,
TB_PersonSearcher（简历筛选器）,LastSearchTime,最后一次查询时间,datetime,,,,,,,,,,,,,,,,,,
TB_PersonSearcher（简历筛选器）,UrlParam,地址参数,nvarchar,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),UserID,用户Id、企业Id,int,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),CompanyName,企业名称,nvarchar,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),FullName,企业全名,nvarchar,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),CompanyType,企业性质,int,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),EmpRange,公司规模,int,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),Contact,联系人,nvarchar,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),ContactSex,联系人性别,int,1男，  2女,,,,,,,,,,,,,,,,,
